hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457690.72365,bc,V,12.033,0.02,58.956,1.085
2457483.07577,ba,V,12.008,0.02,66.655,1.226
2456969.71734,bc,V,11.999,0.02,60.869,1.12
2456867.91008,bc,V,11.984,0.02,61.72,1.136
2456824.97041,bc,V,11.969,0.02,62.583,1.152
2458254.94993,bc,V,12.012,0.02,60.148,1.107
2457817.13371,ba,V,11.995,0.02,67.457,1.241
2457499.02025,ba,V,12.025,0.02,65.617,1.207
2457440.16484,ba,V,12.002,0.02,67.008,1.233
2456846.92862,bc,V,12.059,0.02,57.559,1.059
2457871.04534,bc,V,12.003,0.02,60.653,1.116
2457625.81568,ba,V,12.013,0.02,66.378,1.221
2457184.02356,bc,V,11.954,0.02,63.436,1.167
2456900.83932,bc,V,12.028,0.02,59.265,1.09
2458318.93002,ba,V,11.973,0.02,68.843,1.267
2458004.89039,ba,V,11.995,0.02,67.468,1.241
2457671.7562,bc,V,11.981,0.02,61.896,1.139
2457221.89105,bc,V,12.012,0.02,60.142,1.107
2457180.0057,bc,V,11.978,0.02,62.065,1.142
2457122.12975,ba,V,11.956,0.02,69.967,1.287
2456914.81829,bc,V,11.953,0.02,63.482,1.168
2456884.87525,bc,V,12.038,0.02,58.695,1.08
2458277.88392,bc,V,11.987,0.02,61.521,1.132
2457979.80344,bc,V,12.092,0.02,55.853,1.028
2457675.76923,bc,V,12.023,0.02,59.536,1.095
2456932.76667,ba,V,12.013,0.02,66.37,1.221
2456917.8238,bc,V,12.01,0.02,60.241,1.108
2456914.82115,ba,V,11.962,0.02,69.565,1.28
2456816.97468,ba,V,12.027,0.02,65.52,1.206
2457893.06913,bc,V,12.119,0.02,54.49,1.003
2457333.70533,ba,V,12.03,0.02,65.353,1.202
2456904.83313,bc,V,12.043,0.02,58.441,1.075
2456896.85054,bc,V,12.029,0.02,59.186,1.089
2456867.91698,ba,V,11.975,0.02,68.747,1.265
2456828.97911,ba,V,11.904,0.02,73.394,1.35
2458430.7015,ba,V,12.012,0.02,66.432,1.222
2457982.93424,ba,V,12.002,0.02,67.027,1.233
2457921.09092,bc,V,12.05,0.02,58.081,1.069
2457680.70499,bc,V,12.116,0.02,54.63,1.005
2457601.98344,ba,V,12.006,0.02,66.773,1.229
2457110.07529,bc,V,12.003,0.02,60.617,1.115
2456892.86517,ba,V,12.073,0.02,62.808,1.156
2458327.86857,bc,V,12.064,0.02,57.306,1.054
2457905.89542,ba,V,11.995,0.02,67.457,1.241
2457894.0499,ba,V,12.094,0.02,61.571,1.133
2457590.01755,ba,V,12.037,0.02,64.883,1.194
2457578.91396,bc,V,12.009,0.02,60.322,1.11
2457542.00248,bc,V,11.947,0.02,63.855,1.175
2457274.86649,ba,V,12.068,0.02,63.093,1.161
2457103.09937,bc,V,12.041,0.02,58.572,1.078
2458309.02246,ba,V,12.041,0.02,64.684,1.19
2457979.88261,ba,V,12.084,0.02,62.156,1.144
2457852.05097,ba,V,11.953,0.02,70.15,1.291
2457825.13113,ba,V,11.973,0.02,68.84,1.267
2457583.03825,ba,V,11.976,0.02,68.631,1.263
2457573.93275,bc,V,11.961,0.02,62.998,1.159
2457303.79549,ba,V,12.004,0.02,66.887,1.231
2457137.00271,bc,V,11.988,0.02,61.477,1.131
2457083.13458,bc,V,11.964,0.02,62.856,1.157
2457978.95447,bc,V,12.096,0.02,55.658,1.024
2457098.11031,ba,V,12.026,0.02,65.58,1.207
2456892.85938,bc,V,12.065,0.02,57.253,1.053
2456868.89384,bc,V,11.977,0.02,62.094,1.143
2458026.79461,bc,V,12.051,0.02,58.024,1.068
2456826.96922,bc,V,11.935,0.02,64.579,1.188
2456881.93234,bc,V,12.013,0.02,60.085,1.106
2457996.79719,ba,V,12.046,0.02,64.398,1.185
2457913.88693,bc,V,12.063,0.02,57.356,1.055
2457668.79184,bc,V,12.001,0.02,60.745,1.118
2457512.03973,bc,V,12.079,0.02,56.543,1.04
2457438.16022,bc,V,11.973,0.02,62.332,1.147
2456885.84942,bc,V,12.041,0.02,58.523,1.077
2457967.82665,ba,V,11.966,0.02,69.292,1.275
2457905.88811,bc,V,11.98,0.02,61.936,1.14
2457207.02952,bc,V,12.0,0.02,60.79,1.119
2456896.85603,ba,V,12.023,0.02,65.75,1.21
2456890.85657,bc,V,12.078,0.02,56.61,1.042
2458423.70356,bc,V,12.008,0.02,60.356,1.111
2457970.8874,bc,V,11.968,0.02,62.622,1.152
2457942.9739,ba,V,12.081,0.02,62.348,1.147
2457925.96246,bc,V,12.002,0.02,60.671,1.116
2457686.7403,bc,V,12.047,0.02,58.206,1.071
2457527.92865,bc,V,12.051,0.02,58.015,1.067
2457132.07483,ba,V,12.036,0.02,64.969,1.195
2456970.71369,ba,V,12.01,0.02,66.533,1.224
2456835.04103,bc,V,11.959,0.02,63.169,1.162
2457509.0841,bc,V,12.031,0.02,59.089,1.087
2456910.84505,ba,V,12.003,0.02,66.973,1.232
2457991.80721,ba,V,11.983,0.02,68.219,1.255
2457889.02581,bc,V,12.07,0.02,57.022,1.049
2457688.74707,bc,V,12.016,0.02,59.934,1.103
2457637.88616,ba,V,12.04,0.02,64.703,1.191
2457597.86605,bc,V,12.025,0.02,59.405,1.093
2457459.11522,bc,V,11.965,0.02,62.778,1.155
2457092.12296,bc,V,11.971,0.02,62.46,1.149
2456973.69013,bc,V,12.005,0.02,60.527,1.114
2456915.82269,bc,V,11.958,0.02,63.195,1.163
2456887.87276,bc,V,12.054,0.02,57.873,1.065
2458274.88102,bc,V,12.001,0.02,60.753,1.118
2457660.80678,ba,V,12.014,0.02,66.308,1.22
2457581.993,bc,V,11.979,0.02,61.986,1.141
2457333.70126,bc,V,12.034,0.02,58.953,1.085
2457310.76865,bc,V,12.067,0.02,57.187,1.052
2457288.79129,ba,V,11.973,0.02,68.868,1.267
2457277.867,bc,V,12.045,0.02,58.346,1.074
2457181.99898,bc,V,11.963,0.02,62.9,1.157
2457106.10326,ba,V,11.999,0.02,67.196,1.236
2457081.13978,bc,V,11.951,0.02,63.589,1.17
2458004.87228,bc,V,12.024,0.02,59.466,1.094
2457991.76469,bc,V,11.988,0.02,61.49,1.131
2457696.71382,ba,V,12.051,0.02,64.088,1.179
2457441.16105,bc,V,12.007,0.02,60.432,1.112
2457245.94912,ba,V,12.001,0.02,67.078,1.234
2457242.96864,ba,V,11.973,0.02,68.832,1.267
2457199.85663,ba,V,11.966,0.02,69.316,1.275
2457177.92496,bc,V,12.005,0.02,60.546,1.114
2456898.84971,ba,V,12.012,0.02,66.396,1.222
2457322.73973,ba,V,11.947,0.02,70.52,1.298
2457261.89065,bc,V,11.977,0.02,62.12,1.143
2457149.06837,bc,V,12.0,0.02,60.774,1.118
2457521.05475,bc,V,11.997,0.02,60.988,1.122
2457303.78786,bc,V,12.006,0.02,60.48,1.113
2457244.95802,bc,V,11.983,0.02,61.772,1.137
2457167.92726,ba,V,11.955,0.02,69.975,1.288
2458017.84989,ba,V,12.009,0.02,66.623,1.226
2457907.98377,bc,V,12.018,0.02,59.778,1.1
2457883.96644,ba,V,11.997,0.02,67.356,1.239
2457069.16781,bc,V,11.981,0.02,61.864,1.138
2456876.89746,bc,V,11.988,0.02,61.482,1.131
2456737.06047,bc,V,12.026,0.02,59.37,1.092
2458343.96314,ba,V,12.049,0.02,64.182,1.181
2457977.87986,ba,V,12.116,0.02,60.358,1.111
2457960.91459,bc,V,12.054,0.02,57.843,1.064
2457878.05532,ba,V,12.029,0.02,65.391,1.203
2458037.78728,ba,V,12.028,0.02,65.421,1.204
2457959.00197,ba,V,12.063,0.02,63.39,1.166
2457829.10603,bc,V,12.026,0.02,59.384,1.093
